id,date,sex,city,product category,MontH,season,region
1,2012-02-14,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
2,2012-02-14,Erkek,İstanbul,Sağlık,Şubat,KIŞ,MARMARA
3,2012-02-14,Erkek,Samsun,Ağrılar,Şubat,KIŞ,KARADENİZ
4,2012-02-14,Erkek,Ankara,Cinsel,Şubat,KIŞ,İÇ ANADOLU
5,2012-02-14,Erkek,Kocaeli,Ağrılar,Şubat,KIŞ,MARMARA
6,2012-02-14,Erkek,Trabzon,Cinsel,Şubat,KIŞ,KARADENİZ
7,2012-02-14,Erkek,Muş,Cinsel,Şubat,KIŞ,DOĞU ANADOLU
8,2012-02-14,Erkek,İstanbul,Cinsel,Şubat,KIŞ,MARMARA
9,2012-02-14,Bayan,Kocaeli,Cinsel,Şubat,KIŞ,MARMARA
10,2012-02-14,Erkek,Hatay,Cinsel,Şubat,KIŞ,AKDENİZ
11,2012-02-14,Erkek,Zonguldak,Zayıflama,Şubat,KIŞ,KARADENİZ
12,2012-02-14,Bayan,İstanbul,Saç,Şubat,KIŞ,MARMARA
13,2012-02-15,Erkek,İzmir,DİĞER,Şubat,KIŞ,EGE
14,2012-02-15,Erkek,Ankara,Zayıflama,Şubat,KIŞ,İÇ ANADOLU
15,2012-02-15,Bayan,İstanbul,Bakım,Şubat,KIŞ,MARMARA
16,2012-02-15,Erkek,Karabük,Cinsel,Şubat,KIŞ,KARADENİZ
17,2012-02-15,Erkek,Bursa,Saç,Şubat,KIŞ,MARMARA
18,2012-02-15,Erkek,İzmir,Cinsel,Şubat,KIŞ,EGE
19,2012-02-15,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
20,2012-02-15,Bayan,Nevşehir,Güzellik,Şubat,KIŞ,İÇ ANADOLU
21,2012-02-15,Erkek,Antalya,Ağrılar,Şubat,KIŞ,AKDENİZ
22,2012-02-15,Bayan,İstanbul,DİĞER,Şubat,KIŞ,MARMARA
23,2012-02-15,Bayan,Zonguldak,Zayıflama,Şubat,KIŞ,KARADENİZ
24,2012-02-15,Bayan,Manisa,Zayıflama,Şubat,KIŞ,EGE
25,2012-02-15,Bayan,Ankara,Bakım,Şubat,KIŞ,İÇ ANADOLU
26,2012-02-15,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
27,2012-02-15,Erkek,Diyarbakır,Zayıflama,Şubat,KIŞ,GÜNEYDOĞU
28,2012-02-15,Bayan,İzmir,Zayıflama,Şubat,KIŞ,EGE
29,2012-02-15,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
30,2012-02-16,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
31,2012-02-16,Bayan,İstanbul,DİĞER,Şubat,KIŞ,MARMARA
32,2012-02-16,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
33,2012-02-16,Erkek,Kayseri,Cinsel,Şubat,KIŞ,İÇ ANADOLU
34,2012-02-16,Erkek,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
35,2012-02-16,Bayan,İstanbul,Zayıflama,Şubat,KIŞ,MARMARA
36,2012-02-16,Erkek,Eskişehir,Cinsel,Şubat,KIŞ,İÇ ANADOLU
