_link,id,tag,date,ocid,Payment Mode,initiationType,fiscal_year,buyer_name,tender_id,tender_stage,tender_title,tender_allowTwoStageTender,tender_status,tender_submissionMethodDetails,tender_procurementMethod,tender_mainProcurementCategory,tender_contractType,tender_numberOfTenderers,tender_datePublished,tender_allowPreferentialBidder,tender_externalReference,tender_value_amount,tender_bidOpening_date,tender_tenderPeriod_durationInDays,tenderclassification_description
id-0.0,ocds-kjhdrl-2016_DOT_946_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DOT_946_1,Offline,tender,2016-2017,Department of Tourism,2016_DOT_946_1,AOC,"Development of facilities for Pilgrims visiting Kamakhya Dham, Guwahati under 13th Finance Commission_Construction of Dormitory with outer development and parking facilities",No,NA,NA,Open Tender,Works,Item Rate,5,2016-06-16 12:00:00,No,ATDC/CS/558/2016/1036_E002,25132914,12-07-2016 12:30,180,Composite Works
id-0.1,ocds-kjhdrl-2016_DoWR_1302_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1302_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1302_1,Technical Evaluation,IM NutanBhralibari,No,NA,NA,Open Tender,Works,Works,7,2016-12-12 18:00:00,No,Dib/SDRF/2016-17/6,25349923,02-01-2017 14:00,180,Civil Works
id-0.2,ocds-kjhdrl-2016_DoWR_1318_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1318_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1318_1,Financial Bid Opening,IM for Sub Mehilapra,No,NA,NA,Open Tender,Works,Works,5,2016-12-15 9:00:00,No,Bak/SDRF/2016-17/3,7967277,04-01-2017 14:05,180,Civil Works
id-0.3,ocds-kjhdrl-2016_DoWR_1334_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1334_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1334_1,Technical Evaluation,IM at PGJH-1,No,NA,NA,Open Tender,Works,Works,10,2016-12-28 18:00:00,No,Maj/SDRF/2016-17/3,9803783,11-01-2017 14:05,180,Civil Works
id-0.4,ocds-kjhdrl-2016_DoWR_1366_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1366_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1366_1,Financial Bid Opening,IM to Desang Bund Left Bank 3,No,NA,NA,Open Tender,Works,Works,10,2016-12-22 18:00:00,No,Siv/SDRF/2016-17/3,12441168,11-01-2017 14:00,180,Civil Works
id-0.5,ocds-kjhdrl-2016_DoWR_1354_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1354_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1354_1,Financial Bid Opening,IM at Sissini Bhojoni 1,No,NA,NA,Open Tender,Works,Works,11,2016-12-22 14:00:00,No,Dib/SDRF/2016-17/7,21277243,10-01-2017 14:00,180,Civil Works
id-0.6,ocds-kjhdrl-2016_DoWR_1369_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1369_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1369_1,Technical Evaluation,IM Dikhow bund at Julatup 2,No,NA,NA,Open Tender,Works,Works,13,2016-12-23 9:00:00,No,Siv/SDRF/2016-17/1,15880882,11-01-2017 14:00,180,Civil Works
id-0.7,ocds-kjhdrl-2016_DoWR_1373_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1373_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1373_1,Technical Evaluation,MnR BuriDehingPk1,No,NA,NA,Open Tender,Works,Works,12,2016-12-23 18:00:00,No,Dib/MnR/2016-17/1,815659,06-01-2017 14:05,90,Civil Works
id-0.8,ocds-kjhdrl-2016_DoWR_1379_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1379_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1379_1,Technical Evaluation,MnR Buridehingpk5,No,NA,NA,Open Tender,Works,Works,22,2016-12-23 18:00:00,No,Dib/MnR/2016-17/1,249000,06-01-2017 14:05,90,Civil Works
id-0.9,ocds-kjhdrl-2016_DoWR_1382_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1382_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1382_1,Technical Evaluation,MnR Buridehingpk7,No,NA,NA,Open Tender,Works,Works,21,2016-12-23 18:00:00,No,Dib/MnR/2016-17/1,367733,06-01-2017 14:05,90,Civil Works
id-0.10,ocds-kjhdrl-2016_DoWR_1398_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1398_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1398_1,Technical Evaluation,Immediate mesures for restoration of Breach like damages  of Kakodonga bund 1,No,NA,NA,Open Tender,Works,Works,14,2016-12-26 9:00:00,No,Jor/SDRF/2016-17/6,2254061,09-01-2017 14:00,180,Civil Works
id-0.11,ocds-kjhdrl-2016_DoWR_1392_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1392_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1392_1,Technical Evaluation,Im at Biswanath panpur 2,No,NA,NA,Open Tender,Works,Works,3,2016-12-24 9:00:00,No,Tez/SDRF/2016-17/4,2321557,06-01-2017 14:00,180,Civil Works
id-0.12,ocds-kjhdrl-2016_DoWR_1427_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1427_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1427_1,Technical Bid Opening,I.M of of river Belsiri -4,No,NA,NA,Open Tender,Works,Works,1,2016-12-27 18:00:00,No,Tez/SDRF/2016-17/2,2665852,10-01-2017 14:05,180,Civil Works
id-0.13,ocds-kjhdrl-2016_DoWR_1416_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1416_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1416_1,Technical Bid Opening,I.M river Mansiri at Rangajan Mirigaon -5,No,NA,NA,Open Tender,Works,Works,9,2016-12-28 9:00:00,No,Tez/SDRF/2016-17/1,1464926,10-01-2017 14:05,180,Civil Works
id-0.14,ocds-kjhdrl-2016_DoWR_1430_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1430_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1430_1,Financial Bid Opening,Silghatpk10,No,NA,NA,Open Tender,Works,Works,3,2016-12-27 18:00:00,No,Nag/SDRF/2016-17/1,2917148,10-01-2017 14:05,180,Civil Works
id-0.15,ocds-kjhdrl-2016_DoWR_1433_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1433_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1433_1,Financial Bid Opening,I.M at Gabharu R/B-2,No,NA,NA,Open Tender,Works,Works,8,2016-12-27 18:00:00,No,Tez/SDRF/2016-17/3,409772,10-01-2017 14:05,180,Civil Works
id-0.16,ocds-kjhdrl-2016_DoWR_1442_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2016_DoWR_1442_1,Offline,tender,2016-2017,Department of Water Resources,2016_DoWR_1442_1,Financial Bid Opening,Sullungpk7,No,NA,NA,Open Tender,Works,Works,2,2016-12-27 18:00:00,No,Nag/SDRF/2016-17/2,4341508,10-01-2017 14:05,180,Civil Works
