_link,_link_main,multiCurrencyAllowed
id-0.0.tender.participationFee.0,id-0.0,No
id-0.1.tender.participationFee.0,id-0.1,No
id-0.2.tender.participationFee.0,id-0.2,No
id-0.3.tender.participationFee.0,id-0.3,No
id-0.4.tender.participationFee.0,id-0.4,No
id-0.5.tender.participationFee.0,id-0.5,No
id-0.6.tender.participationFee.0,id-0.6,No
id-0.7.tender.participationFee.0,id-0.7,No
id-0.8.tender.participationFee.0,id-0.8,No
id-0.9.tender.participationFee.0,id-0.9,No
id-0.10.tender.participationFee.0,id-0.10,No
id-0.11.tender.participationFee.0,id-0.11,No
id-0.12.tender.participationFee.0,id-0.12,No
id-0.13.tender.participationFee.0,id-0.13,No
id-0.14.tender.participationFee.0,id-0.14,No
id-0.15.tender.participationFee.0,id-0.15,No
id-0.16.tender.participationFee.0,id-0.16,No
id-0.17.tender.participationFee.0,id-0.17,No
id-0.18.tender.participationFee.0,id-0.18,No
id-0.19.tender.participationFee.0,id-0.19,No
id-0.20.tender.participationFee.0,id-0.20,No
id-0.21.tender.participationFee.0,id-0.21,No
id-0.22.tender.participationFee.0,id-0.22,No
id-0.23.tender.participationFee.0,id-0.23,No
id-0.24.tender.participationFee.0,id-0.24,No
id-0.25.tender.participationFee.0,id-0.25,No
id-0.26.tender.participationFee.0,id-0.26,No
id-0.27.tender.participationFee.0,id-0.27,No
id-0.28.tender.participationFee.0,id-0.28,No
id-0.29.tender.participationFee.0,id-0.29,No
id-0.30.tender.participationFee.0,id-0.30,No
id-0.31.tender.participationFee.0,id-0.31,No
id-0.32.tender.participationFee.0,id-0.32,No
id-0.33.tender.participationFee.0,id-0.33,No
id-0.34.tender.participationFee.0,id-0.34,No
id-0.35.tender.participationFee.0,id-0.35,No
id-0.36.tender.participationFee.0,id-0.36,No
id-0.37.tender.participationFee.0,id-0.37,No
id-0.38.tender.participationFee.0,id-0.38,No
id-0.39.tender.participationFee.0,id-0.39,No
id-0.40.tender.participationFee.0,id-0.40,No
id-0.41.tender.participationFee.0,id-0.41,No
id-0.42.tender.participationFee.0,id-0.42,No
id-0.43.tender.participationFee.0,id-0.43,No
id-0.44.tender.participationFee.0,id-0.44,No
id-0.45.tender.participationFee.0,id-0.45,No
id-0.46.tender.participationFee.0,id-0.46,No
id-0.47.tender.participationFee.0,id-0.47,No
id-0.48.tender.participationFee.0,id-0.48,Yes
id-0.49.tender.participationFee.0,id-0.49,No
id-0.50.tender.participationFee.0,id-0.50,No
id-0.51.tender.participationFee.0,id-0.51,No
id-0.52.tender.participationFee.0,id-0.52,No
id-0.53.tender.participationFee.0,id-0.53,No
id-0.54.tender.participationFee.0,id-0.54,No
id-0.55.tender.participationFee.0,id-0.55,No
id-0.56.tender.participationFee.0,id-0.56,No
id-0.57.tender.participationFee.0,id-0.57,No
id-0.58.tender.participationFee.0,id-0.58,No
id-0.59.tender.participationFee.0,id-0.59,No
id-0.60.tender.participationFee.0,id-0.60,No
id-0.61.tender.participationFee.0,id-0.61,No
id-0.62.tender.participationFee.0,id-0.62,No
id-0.63.tender.participationFee.0,id-0.63,No
id-0.64.tender.participationFee.0,id-0.64,No
id-0.65.tender.participationFee.0,id-0.65,No
id-0.66.tender.participationFee.0,id-0.66,No
id-0.67.tender.participationFee.0,id-0.67,No
id-0.68.tender.participationFee.0,id-0.68,No
id-0.69.tender.participationFee.0,id-0.69,No
id-0.70.tender.participationFee.0,id-0.70,No
id-0.71.tender.participationFee.0,id-0.71,No
id-0.72.tender.participationFee.0,id-0.72,No
id-0.73.tender.participationFee.0,id-0.73,No
id-0.74.tender.participationFee.0,id-0.74,No
